iter	Passed	Remaining
410	3456	4953
411	3464	4943
412	3471	4934
413	3478	4923
414	3486	4914
415	3492	4903
416	3500	4894
417	3507	4883
418	3514	4873
419	3522	4864
420	3529	4854
421	3537	4845
422	3544	4835
423	3552	4826
424	3559	4815
425	3566	4805
426	3573	4795
427	3581	4786
428	3588	4776
429	3595	4766
430	3603	4757
431	3610	4747
432	3618	4738
433	3625	4728
434	3633	4719
435	3640	4709
436	3650	4702
437	3657	4692
438	3665	4683
439	3672	4673
440	3679	4664
441	3686	4654
442	3694	4644
443	3701	4635
444	3708	4625
445	3716	4616
446	3723	4606
447	3731	4597
448	3738	4587
449	3746	4579
450	3753	4569
451	3761	4560
452	3768	4550
453	3775	4540
454	3783	4531
455	3790	4521
456	3798	4512
457	3805	4503
458	3813	4494
459	3820	4484
460	3828	4475
461	3835	4465
462	3842	4456
463	3849	4447
464	3856	4437
465	3864	4428
466	3872	4419
467	3880	4410
468	3887	4401
469	3895	4392
470	3902	4382
471	3910	4373
472	3916	4364
473	3924	4355
474	3932	4345
475	3938	4336
476	3946	4327
477	3953	4317
478	3962	4309
479	3968	4299
480	3976	4290
481	3983	4281
482	3990	4271
483	3997	4262
484	4005	4252
485	4013	4244
486	4021	4235
487	4029	4228
488	4038	4220
489	4046	4211
490	4054	4203
491	4062	4194
492	4069	4185
493	4076	4175
494	4083	4166
495	4093	4159
496	4100	4149
497	4109	4142
498	4116	4133
499	4125	4125
500	4133	4117
501	4142	4109
502	4149	4100
503	4159	4093
504	4167	4084
505	4175	4076
506	4182	4066
507	4193	4061
508	4203	4054
509	4212	4047
510	4221	4039
511	4228	4030
512	4237	4023
513	4245	4013
514	4252	4005
515	4260	3996
516	4268	3988
517	4275	3978
518	4283	3969
519	4291	3961
520	4299	3952
521	4306	3943
522	4314	3935
523	4321	3926
524	4328	3916
525	4337	3908
526	4345	3899
527	4353	3891
528	4360	3882
529	4369	3875
530	4376	3865
531	4384	3857
532	4392	3848
533	4400	3840
534	4407	3831
535	4416	3823
536	4423	3813
537	4431	3805
538	4439	3797
539	4448	3789
540	4455	3779
541	4462	3770
542	4469	3761
543	4475	3751
544	4482	3742
545	4489	3733
546	4496	3724
547	4503	3714
548	4510	3704
549	4517	3696
550	4523	3686
551	4530	3677
552	4536	3667
553	4544	3658
554	4550	3648
555	4557	3639
556	4564	3630
557	4570	3620
558	4577	3611
559	4583	3601
560	4589	3591
561	4597	3583
562	4604	3573
563	4610	3564
564	4617	3555
565	4624	3546
566	4631	3536
567	4637	3526
568	4644	3518
569	4651	3508
570	4658	3500
571	4665	3491
572	4672	3482
573	4681	3474
574	4688	3465
575	4697	3458
576	4705	3449
577	4713	3441
578	4722	3433
579	4731	3426
580	4739	3417
581	4750	3412
582	4760	3405
583	4768	3397
584	4779	3390
585	4789	3383
