d,ibc0,ibc1,ibc2,ibc3,ibc4,ibc5,ibc6,ibc7,ibc8,ibc9,ibc10,ibc11,ibc12,ibc13,ibc14,ibc15,ibc16,ibc17,ibc18,ibc19,ibc20,ibc21,ibc22,ibc23,ibc24,ibc25,ibc26,ibc27,ibc28,ibc29,ibc30,ibc31,ibc32,ibc33,ibc34,ibc35,ibc36,y
2,0.022094,-0.015638,0.022112,-0.005816,0.001033,0.018719,0.001020,-0.000465,0.001664,-0.000559,-0.000136,0.001741,-0.000998,-0.000133,-0.001065,0.000746,-0.000652,-0.000172,0.000879,0.000976,0.001716,-0.000380,0.001522,0.004574,0.006744,0.000805,-0.000822,-0.009304,0.016236,-0.002126,0.001415,0.001429,0.000569,-0.000774,-0.000110,0.002826,0.002547,0.035550
1,-0.015638,0.022112,-0.005816,0.001033,0.018719,0.001020,-0.000465,0.001664,-0.000559,-0.000136,0.001741,-0.000998,-0.000133,-0.001065,0.000746,-0.000652,-0.000172,0.000879,0.000976,0.001716,-0.000380,0.001522,0.004574,0.006744,0.000805,-0.000822,-0.009304,0.016236,-0.002126,0.001415,0.001429,0.000569,-0.000774,-0.000110,0.002826,0.002547,0.003106,0.035550
0,0.022112,-0.005816,0.001033,0.018719,0.001020,-0.000465,0.001664,-0.000559,-0.000136,0.001741,-0.000998,-0.000133,-0.001065,0.000746,-0.000652,-0.000172,0.000879,0.000976,0.001716,-0.000380,0.001522,0.004574,0.006744,0.000805,-0.000822,-0.009304,0.016236,-0.002126,0.001415,0.001429,0.000569,-0.000774,-0.000110,0.002826,0.002547,0.003106,0.004802,0.035550
2,0.000000,0.000000,-0.001432,-0.000315,0.002630,0.002349,-0.006909,0.010689,-0.001854,0.003248,-0.004291,-0.016433,-0.015999,-0.016436,0.004750,-0.006422,0.005587,0.008369,-0.009654,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.001350
1,0.000000,-0.001432,-0.000315,0.002630,0.002349,-0.006909,0.010689,-0.001854,0.003248,-0.004291,-0.016433,-0.015999,-0.016436,0.004750,-0.006422,0.005587,0.008369,-0.009654,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,-0.001350
0,-0.001432,-0.000315,0.002630,0.002349,-0.006909,0.010689,-0.001854,0.003248,-0.004291,-0.016433,-0.015999,-0.016436,0.004750,-0.006422,0.005587,0.008369,-0.009654,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,-0.001350
2,-0.000315,0.002630,0.002349,-0.006909,0.010689,-0.001854,0.003248,-0.004291,-0.016433,-0.015999,-0.016436,0.004750,-0.006422,0.005587,0.008369,-0.009654,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,0.003500
1,0.002630,0.002349,-0.006909,0.010689,-0.001854,0.003248,-0.004291,-0.016433,-0.015999,-0.016436,0.004750,-0.006422,0.005587,0.008369,-0.009654,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,0.003500
0,0.002349,-0.006909,0.010689,-0.001854,0.003248,-0.004291,-0.016433,-0.015999,-0.016436,0.004750,-0.006422,0.005587,0.008369,-0.009654,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,0.003500
2,-0.006909,0.010689,-0.001854,0.003248,-0.004291,-0.016433,-0.015999,-0.016436,0.004750,-0.006422,0.005587,0.008369,-0.009654,-0.005084,0.000573,-0.007737,0.012383,-0.017056,0.030411,-0.022605,0.022931,-0.004745,0.000871,0.023305,0.002711,0.001021,-0.000719,-0.000411,0.000699,0.000598,0.000601,-0.000459,0.000355,0.000866,-0.002604,-0.000317,-0.000023,0.003450
