iter	Passed	Remaining
0	4	4726
1	7	3932
2	11	3904
3	15	3747
4	18	3669
5	21	3575
6	24	3506
7	29	3599
8	33	3671
9	36	3644
10	41	3691
11	46	3857
12	50	3871
13	55	3912
14	60	3998
15	64	3975
16	68	3981
17	73	4011
18	77	4020
19	81	3983
20	84	3962
21	88	3942
22	93	3974
23	97	3973
24	101	3962
25	105	3948
26	109	3956
27	114	3958
28	117	3947
29	122	3966
30	126	3945
31	130	3959
32	135	3969
33	139	3975
34	143	3955
35	147	3956
36	152	3981
37	157	3993
38	163	4033
39	168	4045
40	173	4063
41	177	4046
42	181	4046
43	186	4054
44	191	4054
45	194	4039
46	198	4028
47	203	4026
48	208	4039
49	211	4024
50	215	4013
51	221	4034
52	227	4059
53	232	4076
54	237	4082
55	241	4072
56	245	4056
57	250	4072
58	255	4070
59	258	4056
60	263	4052
61	267	4052
62	271	4038
63	275	4031
64	280	4029
65	285	4033
66	289	4031
67	293	4027
68	298	4028
69	302	4013
70	305	4000
71	310	3999
72	315	4001
73	318	3982
74	321	3967
75	325	3952
76	328	3942
77	333	3937
78	337	3937
79	341	3928
80	345	3925
81	351	3929
82	355	3922
83	358	3912
84	362	3905
85	367	3901
86	370	3893
87	374	3878
88	378	3871
89	382	3867
90	385	3853
91	390	3851
92	394	3848
93	398	3845
94	402	3835
95	406	3831
96	411	3830
97	415	3822
98	419	3816
99	425	3833
100	430	3827
101	435	3835
102	440	3837
103	446	3843
104	450	3836
105	454	3834
106	460	3842
107	463	3831
108	467	3822
109	470	3810
110	476	3813
111	480	3808
112	483	3795
113	486	3784
114	492	3786
115	495	3774
116	499	3768
117	504	3773
118	508	3766
119	512	3754
120	515	3746
121	519	3741
122	524	3741
123	529	3743
124	535	3745
125	539	3743
126	543	3737
127	548	3736
128	552	3732
129	556	3725
130	560	3720
131	564	3712
132	568	3708
133	572	3701
134	575	3689
135	580	3689
136	585	3686
137	588	3678
138	593	3673
139	597	3670
140	602	3667
141	607	3668
142	611	3662
143	616	3661
144	620	3659
145	624	3654
146	628	3645
147	632	3643
148	636	3635
149	640	3630
150	645	3629
151	649	3625
152	653	3618
153	656	3608
154	660	3601
155	665	3600
156	668	3590
157	672	3583
158	676	3577
159	680	3570
160	684	3564
161	687	3555
162	690	3546
163	694	3539
164	699	3537
165	702	3528
166	705	3519
167	708	3511
168	713	3508
169	716	3500
170	720	3490
171	723	3484
172	728	3482
173	733	3481
174	737	3477
175	741	3469
176	746	3468
177	749	3459
178	752	3452
179	755	3442
180	760	3439
181	777	3495
182	781	3487
183	784	3479
184	788	3475
185	792	3469
186	797	3466
187	801	3461
188	804	3453
189	809	3451
190	813	3443
191	816	3434
192	818	3422
193	822	3416
194	827	3415
195	831	3410
196	835	3405
197	841	3407
198	844	3399
199	847	3390
200	851	3384
201	855	3380
202	860	3379
203	865	3375
204	870	3375
205	874	3371
206	877	3362
207	881	3357
208	885	3352
209	890	3351
210	894	3343
211	898	3339
212	904	3340
213	908	3338
214	912	3333
215	917	3328
216	922	3328
217	925	3321
218	929	3313
219	932	3306
220	938	3308
221	943	3307
222	946	3298
223	950	3292
224	955	3292
225	961	3293
226	966	3290
227	972	3293
228	976	3289
229	980	3283
230	985	3279
231	989	3275
232	993	3271
233	1000	3273
234	1006	3277
235	1012	3278
236	1019	3281
237	1025	3282
238	1030	3281
239	1036	3281
240	1042	3284
241	1049	3287
242	1055	3288
243	1060	3284
244	1067	3288
245	1073	3290
246	1078	3287
247	1082	3283
248	1088	3282
249	1094	3282
250	1100	3284
251	1105	3280
252	1110	3279
253	1116	3277
254	1120	3273
255	1126	3273
256	1130	3268
257	1135	3265
258	1140	3261
259	1145	3259
260	1149	3255
261	1154	3250
262	1158	3246
263	1162	3242
264	1167	3237
265	1171	3231
266	1175	3226
267	1180	3223
268	1183	3217
269	1187	3210
270	1191	3205
271	1197	3206
272	1202	3200
273	1207	3200
274	1213	3198
275	1216	3192
276	1221	3187
277	1225	3183
278	1229	3178
279	1233	3171
280	1236	3164
281	1241	3162
282	1246	3158
283	1251	3155
284	1257	3155
285	1262	3151
286	1266	3145
287	1270	3142
288	1275	3138
289	1279	3132
290	1282	3125
291	1286	3118
292	1290	3113
293	1294	3109
294	1298	3103
295	1302	3098
296	1308	3097
297	1313	3093
298	1317	3088
299	1321	3084
300	1325	3077
301	1329	3073
302	1335	3072
303	1340	3070
304	1345	3065
305	1349	3060
306	1355	3060
307	1359	3055
308	1365	3053
309	1371	3052
310	1375	3046
311	1378	3040
312	1383	3035
313	1387	3031
314	1391	3025
315	1394	3018
316	1399	3015
317	1405	3014
318	1410	3010
319	1414	3006
320	1419	3002
321	1422	2995
322	1426	2988
323	1430	2983
324	1435	2981
325	1439	2976
326	1443	2970
327	1447	2965
328	1452	2962
329	1458	2960
330	1462	2955
331	1466	2951
332	1470	2945
333	1474	2940
334	1478	2935
335	1483	2932
336	1486	2925
337	1491	2920
338	1496	2918
339	1501	2914
340	1504	2908
341	1508	2902
342	1513	2898
343	1516	2892
344	1520	2886
345	1524	2881
346	1529	2878
347	1534	2875
348	1539	2871
349	1542	2864
350	1548	2863
351	1553	2860
352	1557	2854
353	1561	2850
354	1566	2846
355	1570	2841
356	1574	2836
357	1579	2832
358	1583	2826
359	1587	2822
360	1591	2817
361	1597	2815
362	1602	2812
363	1606	2806
364	1610	2801
365	1614	2796
366	1617	2790
367	1622	2786
368	1628	2784
369	1632	2780
370	1636	2775
371	1640	2768
372	1644	2764
373	1649	2761
374	1654	2756
375	1659	2754
376	1665	2751
377	1668	2746
378	1672	2740
379	1678	2738
380	1682	2734
381	1687	2730
382	1691	2725
383	1697	2723
384	1703	2720
385	1708	2718
386	1712	2712
387	1716	2707
388	1721	2703
389	1725	2699
390	1729	2694
391	1733	2689
392	1739	2686
393	1743	2681
394	1746	2675
395	1752	2673
396	1756	2668
397	1762	2665
398	1766	2661
399	1771	2657
400	1774	2651
401	1779	2647
402	1783	2641
403	1789	2639
404	1792	2633
405	1797	2629
406	1802	2626
407	1806	2620
408	1809	2615
409	1813	2609
410	1817	2604
411	1821	2599
412	1824	2593
413	1829	2589
414	1834	2585
415	1838	2580
416	1842	2575
417	1845	2570
418	1850	2565
419	1855	2562
420	1859	2556
421	1863	2551
422	1868	2548
423	1874	2546
424	1877	2540
425	1881	2535
426	1885	2530
427	1889	2525
428	1893	2520
429	1899	2517
430	1902	2512
431	1906	2506
432	1910	2501
433	1915	2497
434	1920	2493
435	1924	2489
436	1928	2484
437	1933	2480
438	1936	2475
439	1941	2470
440	1945	2466
441	1949	2461
442	1953	2455
443	1956	2450
444	1963	2448
445	1968	2444
446	1971	2439
447	1975	2434
448	1980	2429
449	1984	2424
450	1988	2421
451	1994	2417
452	1998	2413
453	2002	2408
454	2006	2403
455	2011	2399
456	2015	2394
457	2019	2390
458	2024	2386
459	2028	2381
460	2032	2376
461	2037	2372
462	2042	2368
463	2047	2365
464	2052	2361
465	2057	2357
466	2061	2352
467	2064	2347
468	2068	2341
469	2071	2336
470	2075	2331
471	2079	2325
472	2083	2320
473	2086	2315
474	2091	2311
475	2094	2305
476	2097	2300
477	2101	2295
478	2106	2290
479	2110	2285
480	2114	2281
481	2118	2276
482	2122	2271
483	2125	2266
484	2129	2260
485	2133	2256
486	2137	2251
487	2140	2245
488	2144	2241
489	2147	2235
490	2153	2232
491	2156	2227
492	2161	2222
493	2165	2217
494	2170	2214
495	2173	2208
496	2178	2204
497	2182	2199
498	2186	2195
499	2191	2191
500	2194	2186
501	2198	2180
502	2203	2176
503	2207	2172
504	2211	2167
505	2214	2161
506	2218	2157
507	2221	2151
508	2225	2146
509	2228	2141
510	2233	2137
511	2238	2133
512	2241	2128
513	2246	2123
514	2250	2119
515	2253	2113
516	2256	2108
517	2260	2103
518	2265	2099
519	2270	2095
520	2274	2091
521	2279	2087
522	2285	2084
523	2291	2081
524	2295	2076
525	2299	2072
526	2303	2067
527	2309	2064
528	2313	2060
529	2317	2055
530	2321	2050
531	2324	2045
532	2329	2041
533	2334	2036
534	2337	2032
535	2342	2028
536	2347	2023
537	2351	2019
538	2356	2015
539	2361	2011
540	2365	2006
541	2369	2001
542	2372	1996
543	2377	1992
544	2380	1987
545	2383	1981
546	2387	1976
547	2391	1972
548	2395	1968
549	2399	1962
550	2403	1958
551	2408	1954
552	2412	1950
553	2416	1945
554	2420	1940
555	2425	1937
556	2429	1932
557	2433	1927
558	2436	1922
559	2441	1918
560	2444	1913
561	2447	1907
562	2452	1903
563	2457	1899
564	2461	1894
565	2464	1889
566	2468	1885
567	2473	1881
568	2478	1877
569	2483	1873
570	2491	1871
571	2497	1868
572	2502	1864
573	2507	1861
574	2513	1857
575	2517	1852
576	2521	1848
577	2524	1843
578	2528	1838
579	2532	1833
580	2537	1829
581	2540	1824
582	2544	1819
583	2547	1814
584	2551	1810
585	2555	1805
586	2558	1800
587	2561	1795
588	2565	1790
589	2569	1785
590	2574	1781
591	2577	1776
592	2580	1771
593	2585	1767
594	2589	1762
595	2594	1758
596	2597	1753
597	2602	1749
598	2606	1744
599	2610	1740
600	2613	1735
601	2618	1731
602	2622	1726
603	2626	1722
604	2632	1718
605	2636	1713
606	2640	1709
607	2645	1705
608	2650	1701
609	2654	1696
610	2657	1692
611	2664	1689
612	2669	1685
613	2672	1680
614	2676	1675
615	2681	1671
616	2685	1667
617	2690	1662
618	2694	1658
619	2699	1654
620	2703	1649
621	2707	1645
622	2712	1641
623	2716	1636
624	2719	1631
625	2723	1627
626	2728	1622
627	2732	1618
628	2735	1613
629	2738	1608
630	2742	1604
631	2746	1599
632	2751	1595
633	2756	1591
634	2760	1586
635	2763	1581
636	2767	1576
637	2770	1571
638	2773	1567
639	2778	1563
640	2783	1558
641	2787	1554
642	2792	1550
643	2795	1545
644	2800	1541
645	2803	1536
646	2807	1531
647	2810	1526
648	2814	1522
649	2819	1518
650	2824	1514
651	2828	1509
652	2833	1505
653	2838	1501
654	2842	1497
655	2845	1492
656	2851	1488
657	2858	1485
658	2862	1481
659	2867	1477
660	2873	1473
661	2878	1469
662	2882	1465
663	2885	1460
664	2890	1456
665	2894	1451
666	2899	1447
667	2904	1443
668	2908	1439
669	2913	1434
670	2917	1430
671	2923	1427
672	2929	1423
673	2933	1418
674	2938	1414
675	2943	1410
676	2949	1407
677	2956	1403
678	2961	1400
679	2966	1396
680	2972	1392
681	2978	1388
682	2983	1384
683	2987	1380
684	2992	1376
685	2998	1372
686	3004	1368
687	3008	1364
688	3014	1360
689	3021	1357
690	3027	1353
691	3032	1349
692	3035	1344
693	3039	1340
694	3043	1335
695	3048	1331
696	3052	1326
697	3057	1322
698	3061	1318
699	3067	1314
700	3072	1310
701	3077	1306
702	3083	1302
703	3088	1298
704	3093	1294
705	3099	1290
706	3104	1286
707	3107	1281
708	3112	1277
709	3116	1272
710	3120	1268
711	3123	1263
712	3130	1260
713	3135	1255
714	3138	1251
715	3143	1246
716	3147	1242
717	3152	1238
718	3156	1233
719	3160	1229
720	3163	1224
721	3168	1219
722	3173	1215
723	3178	1211
724	3182	1207
725	3188	1203
726	3192	1198
727	3196	1194
728	3201	1190
729	3205	1185
730	3211	1181
731	3216	1177
732	3220	1172
733	3224	1168
734	3229	1164
735	3234	1160
736	3240	1156
737	3245	1152
738	3251	1148
739	3255	1143
740	3259	1139
741	3263	1134
742	3268	1130
743	3275	1126
744	3278	1122
745	3283	1118
746	3288	1113
747	3293	1109
748	3298	1105
749	3302	1100
750	3307	1096
751	3311	1092
752	3315	1087
753	3321	1083
754	3325	1079
755	3330	1075
756	3334	1070
757	3338	1065
758	3342	1061
759	3347	1057
760	3352	1052
761	3356	1048
762	3360	1043
763	3365	1039
764	3371	1035
765	3375	1031
766	3380	1026
767	3385	1022
768	3389	1018
769	3394	1013
770	3397	1009
771	3403	1005
772	3406	1000
773	3411	996
774	3417	992
775	3423	988
776	3427	983
777	3430	978
778	3435	974
779	3439	970
780	3443	965
781	3448	961
782	3452	956
783	3457	952
784	3460	947
785	3464	943
786	3468	938
787	3474	934
788	3478	930
789	3482	925
790	3486	921
791	3489	916
792	3493	912
793	3499	907
794	3503	903
795	3507	898
796	3512	894
797	3516	890
798	3520	885
799	3526	881
800	3531	877
801	3535	872
802	3539	868
803	3545	864
804	3548	859
805	3552	855
806	3556	850
807	3561	846
808	3564	841
809	3569	837
810	3574	832
811	3580	829
812	3586	824
813	3589	820
814	3596	816
815	3600	811
816	3603	807
817	3609	803
818	3613	798
819	3617	794
820	3621	789
821	3628	785
822	3632	781
823	3636	776
824	3643	772
825	3647	768
826	3650	763
827	3653	759
828	3659	754
829	3662	750
830	3667	745
831	3672	741
832	3676	737
833	3681	732
834	3686	728
835	3692	724
836	3697	720
837	3701	715
838	3706	711
839	3709	706
840	3714	702
841	3719	698
842	3724	693
843	3728	689
844	3731	684
845	3735	679
846	3739	675
847	3743	670
848	3748	666
849	3753	662
850	3756	657
851	3760	653
852	3763	648
853	3767	644
854	3771	639
855	3775	635
856	3778	630
857	3785	626
858	3790	622
859	3794	617
860	3798	613
861	3802	608
862	3806	604
863	3810	599
864	3814	595
865	3819	590
866	3823	586
867	3827	582
868	3831	577
869	3836	573
870	3840	568
871	3845	564
872	3849	560
873	3853	555
874	3856	550
875	3860	546
876	3864	542
877	3868	537
878	3872	533
879	3875	528
880	3879	524
881	3884	519
882	3889	515
