iter	Passed	Remaining
0	4	4816
1	8	4161
2	12	4100
3	15	3907
4	19	3861
5	23	3814
6	27	3895
7	30	3832
8	35	3862
9	38	3781
10	42	3808
11	46	3793
12	49	3792
13	53	3750
14	56	3734
15	62	3851
16	65	3808
17	70	3846
18	76	3932
19	80	3924
20	85	3966
21	89	3975
22	93	3979
23	97	3978
24	101	3945
25	104	3924
26	109	3947
27	112	3910
28	116	3891
29	119	3866
30	123	3860
31	127	3855
32	132	3877
33	136	3874
34	141	3901
35	144	3879
36	148	3876
37	152	3863
38	157	3876
39	160	3862
40	164	3849
41	168	3845
42	173	3861
43	178	3887
44	182	3866
45	187	3878
46	190	3857
47	193	3847
48	197	3831
49	202	3845
50	206	3845
51	209	3827
52	213	3822
53	219	3850
54	223	3836
55	226	3826
56	231	3835
57	236	3849
58	241	3848
59	246	3861
60	250	3860
61	255	3858
62	260	3879
63	266	3892
64	270	3889
65	274	3886
66	279	3897
67	284	3902
68	288	3890
69	291	3876
70	295	3863
71	299	3863
72	306	3886
73	309	3878
74	315	3894
75	318	3878
76	322	3866
77	326	3857
78	331	3863
79	335	3860
80	339	3857
81	346	3874
82	350	3868
83	355	3881
84	361	3893
85	366	3899
86	370	3888
87	374	3884
88	380	3897
89	386	3903
90	391	3907
91	395	3903
92	399	3898
93	404	3902
94	409	3898
95	415	3910
96	419	3900
97	423	3900
98	430	3916
99	435	3920
100	440	3924
101	446	3930
102	451	3930
103	455	3925
104	462	3938
105	466	3933
106	471	3936
107	477	3945
108	483	3954
109	488	3952
110	494	3957
111	500	3965
112	506	3972
113	512	3982
114	518	3986
115	522	3985
116	528	3990
117	534	3991
118	537	3981
119	542	3981
120	547	3974
121	552	3979
122	558	3985
123	563	3981
124	568	3981
125	575	3990
126	581	3995
127	587	4003
128	591	3996
129	596	3989
130	602	3993
131	608	4001
132	613	3997
133	617	3991
134	623	3995
135	630	4002
136	634	3996
137	639	3997
138	645	3997
139	650	3994
140	655	3993
141	658	3981
