d,ibc0,ibc1,ibc2,ibc3,ibc4,ibc5,ibc6,ibc7,ibc8,ibc9,ibc10,ibc11,ibc12,ibc13,ibc14,ibc15,ibc16,ibc17,ibc18,ibc19,ibc20,ibc21,ibc22,ibc23,ibc24,ibc25,ibc26,ibc27,ibc28,ibc29,ibc30,ibc31,ibc32,ibc33,ibc34,ibc35,ibc36
0,0.000000,-0.006594,-0.007196,-0.002815,0.001726,-0.008842,0.009600,-0.006552,-0.023207,0.001814,-0.000181,-0.001348,-0.000557,0.007068,-0.004659,0.020176,-0.000807,-0.019596,0.025989,0.010173,0.014655,0.000629,0.000192,0.062908,0.054737,0.001628,0.002463,-0.034689,-0.014456,-0.006756,-0.005543,-0.004898,-0.004369,-0.001396,0.000255,-0.006001,-0.001031
0,0.000000,-0.000112,-0.005710,0.000067,-0.002083,0.002150,0.004319,0.004878,-0.000813,0.011426,-0.006989,0.002572,-0.008593,0.001431,0.007021,0.007704,-0.007618,-0.015072,0.020693,0.016911,0.011027,0.007047,0.000119,0.061478,0.034426,0.000417,0.005233,-0.031987,-0.019867,-0.022443,-0.012340,-0.000728,-0.001527,-0.004418,0.002194,-0.006814,-0.000106
0,0.000000,-0.011700,-0.013716,0.006292,0.004689,0.009699,0.013429,0.007312,-0.000783,-0.002903,-0.013322,0.002064,0.003581,0.009433,-0.013840,-0.004470,0.025212,-0.013130,0.010417,0.007941,0.006747,0.004363,0.000894,0.036625,0.027834,0.009577,0.011149,-0.016509,-0.012702,-0.008692,-0.010315,-0.001648,-0.004342,-0.005524,-0.000277,-0.004154,-0.000890
0,0.000000,0.009114,-0.008785,-0.002429,0.005815,-0.000827,0.007104,0.005863,0.000713,0.000390,-0.003841,0.004211,-0.023023,-0.003147,0.012109,-0.000789,0.013889,-0.024030,0.017733,0.011956,0.025854,-0.024845,0.000715,0.051445,0.033036,0.003251,-0.007214,-0.014614,-0.004684,-0.011584,-0.008693,-0.001260,-0.001019,-0.002924,0.004225,-0.001864,-0.000726
0,0.000000,0.002015,0.010431,0.011340,0.025451,-0.018644,-0.008430,0.018788,-0.003946,-0.003002,0.003091,0.002682,-0.023949,0.010507,0.002694,-0.004506,0.009171,-0.013290,0.009170,0.006101,-0.002684,0.003977,0.000233,0.059601,0.046214,0.008492,0.003119,-0.028169,-0.004003,-0.023258,-0.009143,-0.003168,-0.005579,-0.008468,0.001158,0.005479,-0.007607
0,0.000000,0.002418,0.010656,0.013855,0.021029,-0.012053,-0.009210,0.016097,-0.005560,-0.006696,0.004489,0.003267,-0.024591,0.003320,0.007545,-0.002610,0.003496,-0.014276,0.013101,0.004308,0.002590,0.003823,0.001629,0.048823,0.042774,0.008371,0.005806,-0.014914,-0.002681,-0.017310,-0.008581,-0.002376,-0.008291,-0.009079,-0.000180,0.002522,-0.005524
0,0.000000,-0.007429,-0.003712,-0.004128,0.009706,-0.007024,0.001106,0.017676,-0.004875,-0.005235,-0.016087,0.001323,-0.002656,0.009651,0.001399,0.017605,0.004117,-0.012056,0.010117,0.013012,0.012013,0.014885,0.000385,0.090716,0.045248,0.002666,-0.012160,-0.016248,-0.017757,-0.030266,-0.016719,-0.007436,-0.004772,-0.001147,-0.000125,-0.008241,-0.000086
0,0.000000,-0.001602,-0.007990,-0.007174,0.003086,-0.004764,-0.008286,0.011067,-0.011571,0.000608,-0.015303,0.006519,-0.016609,0.005045,0.003424,0.025542,-0.001744,-0.018132,0.021998,0.017913,0.015787,0.008434,0.000004,0.081551,0.054793,0.000294,-0.000780,-0.023478,-0.020324,-0.015707,-0.014581,-0.000524,-0.006340,0.001518,0.001763,-0.009137,0.000002
0,0.000000,0.007378,0.001480,-0.000667,0.018439,-0.009083,-0.004917,0.022971,-0.003070,0.001944,-0.001897,0.000337,-0.031304,-0.001840,0.006697,-0.001104,0.014397,-0.015034,0.029590,0.012292,0.019483,-0.017380,0.000720,0.074759,0.041052,0.002489,-0.017012,-0.024758,-0.002499,-0.015253,-0.011409,-0.000024,-0.007233,-0.006507,0.003599,-0.001554,-0.001909
0,0.000000,0.007979,-0.003269,-0.004825,0.000449,-0.004392,0.000185,0.002391,-0.005595,-0.000836,-0.010389,-0.000519,-0.014098,0.001162,0.011511,0.021520,-0.007562,-0.026546,0.024822,0.018257,0.007462,0.008874,0.000013,0.069599,0.068408,0.000077,0.000875,-0.032986,-0.015909,-0.017382,-0.009297,-0.000947,-0.001981,-0.001267,0.001356,-0.009597,-0.000033
