d,ibc0,ibc1,ibc2,ibc3,ibc4,ibc5,ibc6,ibc7,ibc8,ibc9,ibc10,ibc11,ibc12,ibc13,ibc14,ibc15,ibc16,ibc17,ibc18,ibc19,ibc20,ibc21,ibc22,ibc23,ibc24,ibc25,ibc26,ibc27,ibc28,ibc29,ibc30,ibc31,ibc32,ibc33,ibc34,ibc35,ibc36
1,0.000000,0.000000,0.000000,0.000002,-0.008063,-0.005035,-0.013532,-0.014520,-0.035373,-0.012410,-0.000791,0.015371,-0.037626,-0.003674,0.006444,-0.039623,-0.002196,0.006539,0.013910,0.012656,0.000431,0.067187,0.053485,0.008456,0.005068,-0.024737,-0.012076,-0.018453,-0.009784,-0.002672,-0.002062,-0.005126,-0.000593,0.000208,0.000084,0.000133,-0.000026
1,0.000000,0.000000,0.000000,-0.006927,-0.009060,-0.012281,-0.027503,-0.018136,-0.029688,-0.010900,-0.000153,0.016742,-0.029687,0.014465,0.000781,-0.042040,0.011132,0.007629,0.011983,0.012332,0.000108,0.087793,0.073723,0.001068,-0.002570,-0.025852,-0.014984,-0.013870,-0.013590,-0.003397,-0.003031,-0.005395,0.000129,0.002349,-0.001254,-0.000188,0.000068
1,0.000000,0.000000,0.000000,0.000264,0.000404,0.001332,0.000550,0.001196,-0.015025,-0.008999,-0.010779,-0.007531,-0.013629,0.007694,0.003770,-0.053238,0.001426,0.007430,0.011479,-0.001868,0.000750,0.096210,0.066141,0.002265,0.000039,-0.041455,-0.020241,-0.012941,-0.017135,-0.002907,-0.007640,-0.010967,0.000274,-0.003389,0.000490,-0.000349,0.000011
1,0.000000,0.006498,-0.003429,-0.012656,-0.012428,0.000641,-0.012524,0.000813,-0.023794,-0.009234,-0.017000,0.016402,-0.008645,0.005768,0.020347,-0.032284,0.007029,0.002294,0.010473,0.002205,0.000484,0.055644,0.052010,0.003260,0.000679,-0.021251,-0.022063,-0.005562,-0.011429,-0.003464,-0.004544,-0.002469,0.000561,-0.000851,0.000167,-0.002100,-0.000604
1,0.000000,0.000885,-0.005621,0.000180,-0.003065,-0.005143,-0.010462,0.000526,-0.020342,-0.012221,0.003708,0.016179,-0.030503,-0.005371,0.026211,-0.031642,0.005243,0.002493,0.004178,0.000744,0.000526,0.057441,0.055333,0.003116,0.000692,-0.019633,-0.019920,-0.015273,-0.003351,-0.001848,-0.001578,-0.004124,-0.002098,-0.002468,-0.000763,-0.001848,0.001066
1,0.000000,-0.000737,0.002924,-0.014111,-0.012202,0.004059,-0.015836,0.004574,-0.022178,-0.005912,-0.021331,0.007846,-0.008867,0.031432,-0.005651,-0.030356,0.005454,0.009569,0.014299,0.020624,0.000036,0.067750,0.056317,0.002533,-0.002944,-0.031660,-0.032336,-0.000348,-0.012734,-0.003974,-0.012397,-0.001433,-0.000979,-0.003360,0.000510,-0.000474,-0.001316
1,0.000000,0.000000,0.000000,0.000227,0.000348,0.001146,0.000473,0.000972,-0.002592,-0.003991,-0.004660,-0.009891,0.004368,-0.014403,0.007365,-0.053640,0.006938,0.010971,0.013459,-0.009351,0.000399,0.100121,0.066346,0.005378,-0.000907,-0.038298,-0.022372,-0.017760,-0.021967,-0.002812,-0.013168,-0.011748,0.001247,-0.004003,0.000386,-0.000188,-0.000212
1,0.000000,0.001790,0.004941,0.011415,0.000298,0.001090,-0.001092,0.000235,0.004113,0.000988,-0.000049,-0.001601,-0.000786,0.007043,0.003828,0.005592,0.011006,0.002127,0.001483,0.003931,0.000066,0.008480,0.008271,0.001673,-0.000006,-0.001287,-0.003907,-0.022565,-0.023600,0.000316,0.018734,-0.033820,0.000817,0.010993,-0.011895,-0.024941,-0.005049
1,0.000000,-0.001591,0.007628,0.001967,0.004187,0.007225,0.000945,0.002696,0.005135,0.001154,-0.002356,0.003857,-0.000542,-0.000201,0.005162,-0.008665,0.017536,0.008246,-0.004311,0.010259,0.000078,0.019196,0.029892,0.001935,-0.002245,-0.017105,-0.005209,-0.023120,-0.017347,-0.000207,0.014069,-0.030894,0.001477,0.009970,-0.010386,-0.020127,-0.000172
1,0.000000,-0.008357,-0.005736,-0.006213,0.002381,-0.003370,-0.006935,0.000854,-0.021540,-0.004978,-0.001844,0.007011,-0.018279,0.039940,-0.001641,-0.042566,0.011854,0.015498,0.007559,0.023357,0.000085,0.062500,0.057111,0.003717,0.001112,-0.028605,-0.028225,-0.011294,-0.010946,-0.002828,-0.007134,-0.000614,-0.001426,-0.006071,-0.002033,-0.000127,-0.000384
