d,ibc0,ibc1,ibc2,ibc3,ibc4,ibc5,ibc6,ibc7,ibc8,ibc9,ibc10,ibc11,ibc12,ibc13,ibc14,ibc15,ibc16,ibc17,ibc18,ibc19,ibc20,ibc21,ibc22,ibc23,ibc24,ibc25,ibc26,ibc27,ibc28,ibc29,ibc30,ibc31,ibc32,ibc33,ibc34,ibc35,ibc36
1,0.000000,0.000005,-0.000002,-0.000004,0.000010,0.000627,-0.001029,-0.002497,-0.010821,-0.015037,0.000555,-0.000998,-0.014255,0.004429,-0.022705,-0.012444,-0.007032,0.014273,-0.020243,0.030391,-0.001977,-0.031248,0.009795,0.011084,0.009194,0.015809,0.000147,0.057993,0.042917,0.002984,-0.002076,-0.025249,-0.029464,-0.002566,-0.007259,-0.003744,-0.009040
1,0.000000,-0.022210,0.011264,-0.021715,0.032651,-0.045498,-0.029191,0.038893,0.004671,-0.011278,0.006347,0.019410,-0.024180,0.004147,-0.010633,-0.005645,0.011938,0.019999,-0.037968,-0.004920,0.045992,-0.020118,0.009928,-0.009399,0.000484,0.000435,0.001547,0.002039,0.002902,0.007901,0.008288,-0.003152,-0.000633,0.000179,-0.001455,-0.001983,-0.000134
1,0.000000,-0.012527,-0.006740,-0.005171,-0.007669,-0.022974,-0.003780,-0.005615,0.009241,-0.008444,-0.003936,0.012060,-0.003485,-0.003927,-0.011862,-0.000267,-0.000971,0.017975,-0.004811,0.012321,0.003874,-0.006102,0.005647,0.021484,0.008292,0.006038,0.000390,0.071836,0.024419,0.003453,-0.022258,-0.010054,-0.008770,-0.033042,-0.016519,-0.005593,-0.002397
1,0.000000,-0.020116,-0.010924,-0.006641,0.004381,-0.029348,-0.010692,0.001179,0.008682,0.008568,0.012146,0.003960,0.001621,-0.000096,-0.013715,0.000494,-0.000362,0.009262,-0.016550,-0.004240,0.026667,-0.009192,0.004494,0.007048,0.004711,0.002646,0.000424,0.031005,0.021140,0.004728,0.010619,-0.012162,-0.012050,-0.008812,-0.006003,-0.000936,-0.003774
1,0.000000,0.000000,-0.011396,-0.001130,-0.008635,0.000469,-0.015942,-0.000264,-0.003662,-0.009282,0.002132,-0.000686,-0.007227,0.001427,-0.004303,-0.005587,-0.002108,0.000251,0.007601,0.002758,-0.004423,-0.016297,0.015380,0.011551,0.010459,0.004548,-0.000000,0.047196,0.036950,0.000060,-0.000704,-0.021447,-0.009607,-0.011023,-0.007725,-0.000234,-0.001250
1,0.000000,-0.012433,-0.011681,-0.007001,-0.009760,-0.020385,-0.005113,-0.005343,0.007828,-0.012671,0.000215,0.014839,-0.004129,-0.007066,-0.010836,-0.001103,0.000390,0.013499,-0.000902,0.016660,0.005440,-0.006900,0.009014,0.024805,0.011052,0.011701,0.000404,0.093251,0.035515,0.003244,-0.022417,-0.017186,-0.014851,-0.037221,-0.019710,-0.005691,-0.004574
1,0.000000,-0.000000,-0.000081,0.000084,-0.001022,-0.002524,-0.007159,-0.007071,-0.012660,-0.006732,0.004112,-0.018515,-0.010543,0.005593,-0.023927,0.002066,0.008889,0.007506,-0.025454,0.019173,0.015719,-0.044249,0.023076,0.016537,0.013898,0.009126,0.000060,0.047893,0.044217,0.002421,0.000944,-0.013779,-0.008328,-0.013454,-0.007568,-0.004342,0.000849
1,0.000000,-0.020426,-0.010222,-0.009905,0.005000,-0.032529,-0.009622,0.001361,0.010077,0.008192,0.018907,0.007074,0.002546,0.000005,-0.004270,0.003422,0.011742,0.012528,-0.023338,-0.003800,0.028812,-0.006368,0.001277,0.003244,0.001905,-0.000304,0.000737,0.013603,0.010748,0.012269,0.016490,-0.011635,-0.007212,-0.007211,-0.004874,-0.001679,-0.003577
1,0.000000,-0.000003,0.007146,-0.009176,-0.007224,-0.010495,-0.004970,-0.006493,-0.000131,-0.005931,-0.007270,0.006676,-0.004158,-0.005646,-0.011634,0.009509,-0.006169,0.012044,-0.007765,0.013033,-0.003132,-0.017161,0.006092,0.012970,0.011076,0.006855,0.000004,0.064590,0.031448,0.000691,-0.005946,-0.021177,-0.008957,-0.010091,-0.013588,-0.000695,-0.002749
1,0.000000,-0.014051,0.033031,-0.043979,0.039455,-0.026158,-0.037684,0.055722,-0.005706,-0.020673,0.034813,0.010173,-0.029342,0.015994,-0.009777,0.008249,0.003018,0.019548,-0.044205,0.013177,0.049258,-0.030110,0.020704,-0.019731,-0.000038,-0.000033,0.000076,0.010212,0.001014,0.000513,0.012500,0.000613,-0.008875,-0.005536,-0.000974,-0.003755,-0.000765
1,0.000000,0.000000,-0.001973,-0.001383,-0.001724,0.005200,-0.017971,0.005990,-0.000805,-0.005706,0.014747,0.007816,0.005386,0.018613,-0.003452,0.003217,-0.011322,0.000417,0.011263,-0.000643,-0.005523,-0.004374,0.008062,0.009640,0.007479,0.002244,-0.000006,0.027208,0.008980,0.000217,0.012099,-0.020033,-0.017500,-0.019323,-0.005732,-0.001068,-0.003109
