d,ibc0,ibc1,ibc2,ibc3,ibc4,ibc5,ibc6,ibc7,ibc8,ibc9,ibc10,ibc11,ibc12,ibc13,ibc14,ibc15,ibc16,ibc17,ibc18,ibc19,ibc20,ibc21,ibc22,ibc23,ibc24,ibc25,ibc26,ibc27,ibc28,ibc29,ibc30,ibc31,ibc32,ibc33,ibc34,ibc35,ibc36
1,0.000000,0.000000,0.000000,0.003456,0.006636,-0.005759,-0.017364,-0.010622,0.000012,-0.011924,0.001062,-0.022558,-0.008386,-0.022339,0.014829,-0.004876,0.005499,0.018546,-0.033072,0.010964,0.003165,0.011981,0.002998,0.000122,0.061677,0.053855,0.003025,-0.000058,-0.026391,-0.027080,-0.001659,-0.013408,-0.003477,-0.006130,-0.002547,0.000286,-0.001050
1,0.000000,0.000000,0.000000,0.003349,0.006438,-0.005909,-0.016181,-0.010104,0.001009,-0.011413,0.004220,-0.022805,-0.008008,-0.021681,0.014688,-0.005784,0.005825,0.018058,-0.032124,0.010502,0.003017,0.011463,0.003404,0.000120,0.060051,0.052565,0.002975,0.001340,-0.026667,-0.028027,-0.002549,-0.012759,-0.004119,-0.006222,-0.003083,0.000473,-0.001165
1,0.000000,0.000001,0.002702,-0.007355,-0.001078,-0.020252,-0.007296,0.005189,-0.008176,-0.006696,-0.000669,-0.024848,-0.004665,0.006892,0.011141,-0.031386,0.043983,0.001226,-0.045930,0.004228,0.013302,0.005496,0.019283,0.000070,0.048683,0.048394,0.003429,-0.001026,-0.016720,-0.021922,-0.010846,-0.004348,-0.001682,-0.005498,0.000194,-0.001417,-0.004695
1,0.000000,0.000000,0.002647,-0.007260,-0.001159,-0.019598,-0.006809,0.005403,-0.006243,-0.006531,0.002568,-0.025155,-0.004524,0.006134,0.011121,-0.030934,0.043257,0.000933,-0.045041,0.004127,0.012877,0.005060,0.019250,0.000070,0.047420,0.047475,0.003383,0.000147,-0.017563,-0.023117,-0.011656,-0.004059,-0.002388,-0.005687,-0.000060,-0.001321,-0.004696
1,0.000000,0.001330,-0.004140,0.001157,0.000715,0.004735,0.007338,0.000388,0.001285,-0.000492,0.001437,0.006047,0.001408,0.000202,-0.003809,-0.001671,0.013411,0.005199,0.010290,0.016944,0.003445,0.002064,0.005856,0.000152,0.013238,0.020118,0.002615,0.007062,0.001517,-0.009803,-0.028892,-0.024647,-0.003802,0.011588,-0.016291,-0.006354,0.007626
1,0.000000,-0.003757,-0.007937,-0.002674,-0.009244,-0.005066,-0.007901,0.004298,-0.012317,-0.012506,-0.002101,-0.010456,-0.001769,0.005263,0.009532,-0.012282,0.009188,0.011158,-0.031504,0.029488,0.014500,0.014097,0.007934,-0.000023,0.055294,0.041163,0.002541,0.001055,-0.017704,-0.012872,-0.011853,-0.009176,-0.004865,-0.001094,0.002945,-0.000922,-0.005964
1,0.000000,-0.003714,-0.007965,-0.002821,-0.009147,-0.005566,-0.007262,0.004359,-0.013148,-0.012492,-0.002110,-0.010411,-0.001587,0.005302,0.009399,-0.012924,0.009825,0.010828,-0.030330,0.029335,0.014631,0.014073,0.007769,-0.000022,0.054729,0.041049,0.002533,0.001342,-0.017036,-0.012898,-0.011634,-0.008827,-0.004864,-0.001036,0.003307,-0.001227,-0.005601
1,0.000000,0.036756,-0.026930,-0.033904,0.053549,-0.003235,-0.020746,0.037470,0.014613,-0.029742,0.013325,-0.013853,0.011290,0.003189,0.015735,-0.045962,0.004310,0.052440,-0.030658,0.018841,-0.018025,-0.000066,-0.000098,0.000188,0.013323,0.001546,0.000639,0.016130,0.001332,-0.009632,-0.007400,-0.002012,-0.005959,0.000297,-0.002325,-0.000299,-0.014891
1,0.000000,0.036895,-0.028086,-0.034987,0.053364,-0.002839,-0.019890,0.036441,0.015002,-0.030603,0.012463,-0.013134,0.014978,0.005124,0.015141,-0.043672,0.000338,0.053947,-0.027743,0.016307,-0.017397,0.000150,-0.000172,0.000336,0.013577,0.001675,0.001591,0.018534,0.000823,-0.009794,-0.007451,-0.001949,-0.006339,-0.000105,-0.002562,-0.000750,-0.015189
1,0.000000,0.003791,0.001653,0.001626,0.010522,0.011717,0.019522,0.002987,0.001408,-0.000271,-0.009071,0.013013,0.000376,0.001326,-0.003363,-0.001072,0.005263,0.001845,0.003356,0.013289,-0.001490,0.000955,0.000782,-0.000069,0.035146,0.021082,0.001057,0.000780,-0.003388,-0.004138,-0.029641,-0.020661,-0.002438,0.019250,-0.031331,0.002015,0.035992
