d,ibc0,ibc1,ibc2,ibc3,ibc4,ibc5,ibc6,ibc7,ibc8,ibc9,ibc10,ibc11,ibc12,ibc13,ibc14,ibc15,ibc16,ibc17,ibc18,ibc19,ibc20,ibc21,ibc22,ibc23,ibc24,ibc25,ibc26,ibc27,ibc28,ibc29,ibc30,ibc31,ibc32,ibc33,ibc34,ibc35,ibc36
2,0.000000,-0.000002,0.000010,0.004509,-0.002950,0.002149,-0.015102,-0.017498,0.004367,-0.004239,-0.014437,0.008124,-0.029740,-0.011055,-0.000228,0.012410,-0.026286,0.036176,0.000944,-0.039109,0.009872,0.011242,0.007224,0.018365,0.000079,0.053421,0.046812,0.002476,-0.001582,-0.022366,-0.028269,-0.005829,-0.008370,-0.003347,-0.007603,0.000187,-0.001190
2,0.000000,0.000000,0.000000,0.004130,-0.004828,-0.001667,-0.015966,-0.017469,0.002904,-0.004011,-0.012620,0.007118,-0.028261,-0.007985,0.001825,0.009844,-0.026015,0.042625,-0.001092,-0.040452,0.008077,0.011902,0.006766,0.021823,0.000093,0.057835,0.049414,0.002324,-0.001214,-0.024005,-0.028688,-0.007817,-0.007092,-0.002795,-0.007707,0.000430,-0.001816
2,0.000000,-0.001815,0.001397,0.007109,-0.009091,-0.002939,0.002838,-0.012991,0.007377,0.011517,-0.005672,0.002824,0.009192,0.000213,-0.014134,0.004760,-0.007179,0.001186,0.030084,-0.018497,0.017445,0.003881,-0.005202,0.004024,0.000000,0.058901,0.024683,0.000410,-0.011339,-0.016894,-0.013095,-0.006813,-0.036683,-0.002102,0.005085,-0.024366,-0.013403
2,0.000000,-0.000046,-0.004832,-0.024193,-0.008703,-0.006705,0.011084,-0.010065,-0.004093,0.008263,-0.002445,-0.004510,-0.013045,0.005860,-0.004214,0.022278,-0.015124,0.009207,0.005938,-0.009685,0.001237,0.013644,0.008171,0.005708,0.000367,0.054903,0.026245,0.002688,-0.009661,-0.002729,-0.012575,-0.018432,-0.013903,-0.005092,-0.001826,-0.000619,0.000180
2,0.000000,-0.054290,0.047293,-0.011569,-0.041960,0.066342,-0.002469,-0.035639,0.053272,0.003047,-0.037976,0.011585,-0.009359,0.026169,0.004361,0.016546,-0.042461,-0.001945,0.065574,-0.038767,0.025551,-0.028468,0.000299,0.000170,0.000234,0.011747,0.001510,0.001624,0.017568,0.000342,-0.009615,-0.006772,-0.002036,-0.005646,-0.000566,-0.000982,-0.000293
2,0.000000,0.003782,-0.004401,-0.022950,-0.006129,-0.006422,0.010658,-0.011344,-0.000898,0.010614,-0.002350,-0.004220,-0.013331,0.005588,-0.003169,0.020703,-0.015423,0.009638,0.006908,-0.008144,0.003883,0.011664,0.009070,0.007909,0.000348,0.057447,0.029451,0.002536,-0.009613,-0.005783,-0.010074,-0.023815,-0.012540,-0.006448,-0.002788,-0.000076,0.000031
2,0.000000,-0.025991,0.030413,-0.036251,-0.028801,0.037116,0.001409,-0.012774,0.012045,0.016987,-0.022380,0.004604,-0.007952,0.003504,0.018782,0.021660,-0.039727,-0.007273,0.050846,-0.021187,0.010553,-0.010379,0.001030,0.000440,0.001860,0.002009,0.004453,0.013056,0.014942,-0.006886,-0.000725,-0.001257,-0.003208,-0.002902,-0.000379,-0.000235,-0.000056
2,0.000000,-0.054321,0.046470,-0.006720,-0.042807,0.066184,-0.000863,-0.036857,0.055409,0.002980,-0.038780,0.012774,-0.008337,0.027775,0.002504,0.012927,-0.039085,0.002940,0.059579,-0.041678,0.028790,-0.028232,0.001201,0.001289,0.000104,0.017137,0.005016,0.000989,0.017677,-0.000513,-0.011768,-0.007936,-0.002406,-0.006160,0.000021,-0.001742,-0.000609
2,0.000000,0.000083,-0.002687,-0.007824,-0.004455,-0.008381,-0.009883,-0.003459,0.005025,-0.015219,-0.010267,0.002880,-0.015556,0.001855,0.008028,0.009773,-0.022840,0.013633,0.012999,-0.037816,0.028960,0.015590,0.012356,0.006842,0.000001,0.048297,0.039267,0.003667,0.003503,-0.018751,-0.007307,-0.011980,-0.007083,-0.004510,0.001306,-0.002801,-0.001067
2,0.000000,0.000000,-0.002869,-0.007736,-0.003848,-0.007252,-0.011010,-0.003445,0.007262,-0.015540,-0.009331,-0.002708,-0.007633,0.001808,0.005917,0.010425,-0.018017,0.009180,0.012026,-0.034527,0.029109,0.015582,0.013205,0.007434,0.000001,0.047503,0.036069,0.003577,0.004196,-0.012819,-0.011166,-0.011032,-0.009204,-0.004664,-0.001146,0.003028,-0.000847
