d,ibc0,ibc1,ibc2,ibc3,ibc4,ibc5,ibc6,ibc7,ibc8,ibc9,ibc10,ibc11,ibc12,ibc13,ibc14,ibc15,ibc16,ibc17,ibc18,ibc19,ibc20,ibc21,ibc22,ibc23,ibc24,ibc25,ibc26,ibc27,ibc28,ibc29,ibc30,ibc31,ibc32,ibc33,ibc34,ibc35,ibc36
2,0.000000,0.000025,0.000038,0.000060,0.000111,-0.000121,0.000078,0.000039,-0.000084,-0.000032,-0.001599,-0.003388,-0.007376,-0.018130,-0.020329,-0.032134,-0.007525,-0.013405,0.012300,-0.015618,-0.006125,0.000403,-0.034478,0.004584,0.008214,0.012810,0.014227,0.000227,0.088806,0.077479,0.004239,-0.002170,-0.031953,-0.021509,-0.023594,-0.014278,-0.002732
2,0.000000,0.002982,-0.026578,-0.013285,-0.006950,-0.000804,-0.026644,-0.009957,0.000786,0.010858,0.002288,0.008554,0.010039,-0.005823,-0.000337,-0.009899,0.001406,-0.002278,0.002129,-0.005520,-0.005383,0.021816,-0.013160,0.010798,0.006903,0.004858,0.005046,0.000268,0.045452,0.026858,0.002984,0.003630,-0.017511,-0.011501,-0.009868,-0.006774,-0.000493
2,0.000000,-0.003223,-0.009363,-0.004383,-0.013986,-0.008420,-0.017744,-0.005631,-0.006798,0.005213,-0.008258,-0.002318,0.010305,-0.004186,-0.005920,-0.009949,0.003598,-0.003650,0.013831,-0.004218,0.013673,0.001726,-0.007679,0.007704,0.020221,0.010789,0.009220,0.000242,0.079784,0.032255,0.002193,-0.017646,-0.017211,-0.011614,-0.026565,-0.017247,-0.003591
2,0.000000,-0.004139,-0.014396,-0.009353,-0.010151,-0.010337,-0.016531,-0.004721,-0.002607,0.009702,-0.006518,-0.000671,0.015785,-0.008439,-0.003175,-0.009700,0.001973,-0.003829,0.005640,0.005452,0.005556,0.006372,-0.009731,0.012399,0.017208,0.007483,0.009632,0.000240,0.079522,0.032951,0.002179,-0.016638,-0.018452,-0.011899,-0.027590,-0.014282,-0.003227
2,0.000000,0.006468,-0.023686,0.029354,-0.036197,0.035783,-0.027345,-0.040201,0.050291,0.002953,-0.016823,0.028284,0.010061,-0.033501,0.015061,-0.009027,0.005320,0.001774,0.020304,-0.046061,0.021120,0.047959,-0.041092,0.016831,-0.018370,0.000744,0.000377,0.000178,0.011303,0.003795,0.001007,0.008703,-0.001786,-0.005999,-0.003138,-0.000682,-0.002676
2,0.000000,-0.000014,0.000001,-0.000041,0.000039,-0.006428,-0.008532,-0.006949,-0.000973,-0.010730,-0.008054,0.007864,-0.008799,-0.014885,0.001735,-0.013280,-0.002800,0.005044,0.009187,-0.021136,0.019021,0.012001,-0.030767,0.021556,0.011214,0.012043,0.006629,0.000137,0.048403,0.044667,0.002590,0.003168,-0.020367,-0.011959,-0.011350,-0.006218,-0.002310
2,0.000000,0.004805,-0.026211,-0.010727,-0.002952,0.010587,-0.033849,-0.013437,0.005732,0.009758,0.004077,0.003923,0.009368,-0.002699,-0.000715,-0.005883,0.002486,0.013016,0.010745,-0.016291,-0.006579,0.029357,-0.010291,0.005663,0.004089,0.004095,0.002504,0.001359,0.020198,0.016837,0.011740,0.014600,-0.012982,-0.007578,-0.005033,-0.005509,-0.002240
2,0.000000,0.005909,-0.022482,0.013547,-0.025636,0.030140,-0.032681,-0.029194,0.034951,0.004056,-0.007193,0.019449,0.014529,-0.021877,0.011231,-0.007679,0.004090,0.011241,0.016379,-0.036080,0.009509,0.042729,-0.027385,0.010733,-0.011095,0.000450,0.000281,0.000921,0.007864,0.003266,0.007242,0.014031,-0.003470,-0.005590,-0.003846,-0.001799,-0.003833
2,0.000000,0.000000,0.000000,-0.000731,-0.003475,-0.013130,-0.000675,-0.007331,-0.004871,-0.000050,-0.007187,0.005655,0.002934,-0.002245,0.008738,-0.005422,0.005370,-0.008563,-0.000329,-0.000874,0.010264,-0.002303,-0.010322,0.014825,0.008940,0.011374,0.006802,0.002599,0.051661,0.030536,-0.002539,0.007001,-0.023756,-0.017090,-0.011731,-0.006269,-0.005383
2,0.000000,0.000000,0.000000,0.000077,-0.002826,-0.015028,-0.009245,-0.003757,-0.003920,0.000555,-0.006642,0.006437,0.002560,-0.009756,0.007568,-0.002890,0.003471,-0.005742,0.001988,-0.004763,0.013398,0.001785,-0.012538,0.019345,0.006904,0.012991,0.007331,0.002317,0.060114,0.040568,-0.001462,0.007779,-0.026712,-0.018518,-0.012974,-0.006275,-0.004735
2,0.000000,-0.000001,-0.000001,-0.006149,-0.008097,-0.009918,-0.008600,-0.005499,-0.005386,-0.000782,-0.005320,-0.006561,0.007067,-0.010061,0.001825,-0.011358,0.001497,-0.010456,0.006168,0.005311,0.018673,0.000430,-0.020374,0.022306,0.018665,0.010677,0.009174,0.000007,0.075348,0.054062,0.000209,-0.000835,-0.026572,-0.016047,-0.016236,-0.011578,-0.000640
2,0.000000,0.001014,-0.012474,0.020355,-0.019281,0.017022,-0.006690,-0.030189,0.036791,0.005733,-0.021705,0.015438,0.007485,-0.032119,0.015538,-0.006572,0.005701,-0.008559,0.013633,-0.026691,0.008606,0.038819,-0.042017,0.021994,0.000002,0.018550,-0.012706,-0.000004,0.050064,0.043303,0.001362,0.000887,-0.020323,-0.007104,-0.006565,-0.004467,-0.000044
2,0.000000,-0.002654,0.002266,-0.014679,0.006509,-0.008567,0.002167,-0.001173,-0.002651,0.009742,-0.009820,0.002765,0.015887,-0.012478,0.015762,-0.007299,0.002215,-0.011131,-0.002699,0.010871,-0.011092,0.018137,-0.021882,0.020277,0.018184,0.027118,-0.016852,0.000327,0.087237,0.074336,0.002881,-0.002259,-0.028671,-0.011631,-0.011521,-0.005900,-0.000041
2,0.000000,0.001491,0.008269,-0.019794,0.015993,-0.002573,0.018556,0.004659,-0.014235,0.013355,-0.018604,0.007892,0.009988,0.005441,-0.000911,0.004508,0.003282,-0.017045,0.009565,-0.001876,0.007490,0.013577,-0.018634,0.011098,0.027764,-0.007213,0.011549,0.000670,0.051726,0.067026,0.007255,-0.002465,-0.028506,-0.009430,-0.011798,-0.010483,-0.001121
2,0.000000,0.000211,0.018267,-0.016397,0.004571,-0.008851,-0.001534,0.003310,-0.005525,0.016116,-0.005366,0.012063,0.025512,-0.011865,0.009878,-0.003026,0.003232,-0.006881,-0.007482,0.011251,0.006129,0.013737,-0.029415,0.024415,0.011505,0.009752,0.006939,0.000237,0.055431,0.050954,0.004867,0.007104,-0.020359,-0.017475,-0.011934,-0.000696,-0.001951
2,0.000000,-0.000933,0.007832,-0.014027,0.009713,0.002462,0.015550,0.007698,-0.007836,0.012887,-0.020413,0.005853,0.012678,0.004884,0.001780,0.005132,-0.000423,-0.020908,0.002034,-0.000076,0.001569,0.015995,-0.022767,0.031604,0.016671,0.011681,-0.004981,0.000328,0.070047,0.067414,0.001779,-0.021244,-0.029060,-0.006169,-0.012944,-0.007815,-0.000662
