d,ibc0,ibc1,ibc2,ibc3,ibc4,ibc5,ibc6,ibc7,ibc8,ibc9,ibc10,ibc11,ibc12,ibc13,ibc14,ibc15,ibc16,ibc17,ibc18,ibc19,ibc20,ibc21,ibc22,ibc23,ibc24,ibc25,ibc26,ibc27,ibc28,ibc29,ibc30,ibc31,ibc32,ibc33,ibc34,ibc35,ibc36
0,0.000000,0.005179,0.003873,-0.000105,0.000708,0.000008,-0.002227,0.002543,0.000785,-0.000129,0.000205,0.000435,0.001706,0.001230,-0.000205,0.003750,-0.000063,0.000592,0.000436,-0.000017,0.013296,0.003658,0.000858,-0.000844,-0.001446,-0.001486,-0.015926,-0.017251,-0.000928,0.019574,-0.046273,-0.000018,0.027821,-0.026160,-0.023786,-0.001087,-0.006920
0,0.000000,0.000000,0.000000,0.000208,-0.006787,-0.007200,-0.014539,-0.033596,-0.006952,-0.012367,0.010887,-0.018091,-0.020566,0.001119,-0.030293,0.001607,0.007481,0.012167,0.017327,0.000325,0.070590,0.080998,0.007107,0.005118,-0.033830,-0.020539,-0.020549,-0.012322,-0.002073,-0.009757,-0.006878,-0.000005,-0.004595,0.000077,0.000165,-0.000094,-0.000586
0,0.000000,0.000000,0.000000,-0.000004,-0.006285,-0.008874,-0.013933,-0.033566,-0.006966,-0.011957,0.010691,-0.017596,-0.020988,0.001475,-0.029315,0.001252,0.007913,0.013289,0.016864,0.000325,0.069236,0.081363,0.007112,0.005030,-0.031972,-0.021076,-0.020869,-0.011862,-0.002115,-0.009595,-0.006776,-0.000058,-0.004652,0.000077,0.000165,-0.000094,-0.000586
0,0.000000,-0.002928,-0.055975,0.063540,-0.006067,-0.051334,0.007959,-0.013016,0.029171,-0.003790,0.011539,-0.028702,0.004181,0.065857,-0.061625,0.048234,-0.029866,0.013466,-0.020311,0.000250,0.026921,0.024165,0.001264,0.002873,-0.011822,-0.008598,-0.005537,-0.007648,-0.000438,0.003414,-0.010709,-0.000758,-0.001426,-0.003895,-0.001104,-0.004963,-0.000001
0,0.000000,0.000180,-0.002271,-0.011015,-0.002124,-0.014952,-0.000369,-0.024403,-0.007000,-0.008141,0.013307,-0.024835,0.010163,0.016037,-0.027381,0.003695,0.000318,0.008727,0.004374,0.000521,0.058884,0.061769,0.003332,-0.000843,-0.019419,-0.021697,-0.010809,-0.010016,-0.002147,-0.004362,-0.004576,-0.000700,-0.001281,0.000073,-0.002184,0.000615,0.001295
0,0.000000,0.000089,-0.002139,-0.010977,-0.002102,-0.014851,-0.000362,-0.024313,-0.006973,-0.008269,0.013258,-0.024566,0.010131,0.015978,-0.027288,0.003677,0.000322,0.008680,0.004351,0.000519,0.058693,0.061552,0.003320,-0.000840,-0.019402,-0.021622,-0.010759,-0.010016,-0.002139,-0.003913,-0.004614,-0.000922,-0.001358,0.000226,-0.002078,0.000221,0.001452
0,0.000000,-0.002980,-0.048985,0.061072,-0.005855,-0.040404,0.012915,-0.010732,0.029128,-0.001442,0.009128,-0.027382,-0.003587,0.055271,-0.046096,0.042320,-0.032615,0.002221,0.003320,0.000243,0.031913,0.020779,0.001007,0.014823,-0.007967,-0.014701,-0.010746,-0.008012,-0.005435,0.003179,-0.010619,-0.001346,-0.018771,-0.002629,-0.001605,-0.004514,0.000990
0,0.000000,0.004010,0.007810,0.000222,0.000934,-0.000409,0.001574,0.003112,0.001110,0.000087,-0.001343,-0.000795,0.006072,0.003977,0.004047,0.008821,0.002010,0.001415,0.004150,0.000069,0.008806,0.008302,0.001752,0.000966,-0.001484,-0.003278,-0.016644,-0.018420,0.000213,0.017234,-0.039716,0.002526,0.008222,-0.011499,-0.017245,-0.000742,-0.000601
0,0.000000,0.000000,0.000264,0.000404,0.001329,0.000548,0.001127,-0.010740,-0.005269,-0.000424,-0.004921,-0.015721,0.000593,0.013803,-0.055506,0.004892,0.014242,0.019675,-0.008360,0.000481,0.086647,0.067152,0.006416,-0.000977,-0.036966,-0.021782,-0.023373,-0.012106,-0.004103,-0.011774,-0.009898,0.001310,-0.003992,0.000315,-0.000169,-0.000342,-0.000088
0,0.000000,0.000000,0.000263,0.000402,0.001323,0.000546,0.001122,-0.010987,-0.005248,-0.000956,-0.004930,-0.016029,0.001168,0.013518,-0.055626,0.004483,0.014149,0.019222,-0.006590,0.000479,0.087450,0.067087,0.006385,-0.000885,-0.037375,-0.021585,-0.023392,-0.011963,-0.004080,-0.011380,-0.009634,0.001036,-0.004085,0.000206,-0.000249,-0.000295,-0.000117
0,0.000000,0.000000,-0.008690,-0.003633,-0.005354,-0.029593,-0.016978,-0.023902,-0.009224,0.009831,0.019914,-0.027360,0.006580,0.008049,-0.038985,0.014704,0.007885,0.013367,0.010018,0.000651,0.069950,0.065304,0.013154,0.005747,-0.026012,-0.011902,-0.012884,-0.013904,-0.004394,-0.000872,-0.005868,-0.000165,0.002732,-0.001416,-0.000200,0.000227,-0.000822
0,0.000000,0.003331,-0.009115,-0.003313,-0.001239,-0.015023,0.003730,-0.026653,-0.008807,-0.008944,0.012139,-0.016575,0.041204,-0.007177,-0.038313,0.012403,0.014811,0.010338,0.015769,0.000167,0.066486,0.056652,0.003307,0.000624,-0.025800,-0.031362,-0.005934,-0.009199,-0.003757,-0.009494,-0.001619,-0.000173,-0.007066,-0.001205,-0.000271,-0.001334,-0.000241
0,0.000000,0.003349,-0.009145,-0.003277,-0.001150,-0.015018,0.003514,-0.026925,-0.008809,-0.009101,0.012210,-0.016636,0.041531,-0.007208,-0.038629,0.012480,0.014967,0.010438,0.016185,0.000167,0.066385,0.056641,0.003307,0.000783,-0.025473,-0.031385,-0.005815,-0.009064,-0.003753,-0.009940,-0.001253,-0.000834,-0.006735,-0.001211,-0.000105,-0.001031,-0.000198
0,0.000000,0.009410,-0.008469,-0.010101,0.013406,-0.005442,-0.005942,0.000637,0.002332,-0.010589,0.004166,0.007103,-0.009092,0.011845,-0.016208,0.005669,0.005282,0.010511,-0.001091,0.000257,0.036118,0.032481,0.007408,0.008395,-0.014665,-0.004051,-0.011744,-0.014194,-0.004138,-0.003749,-0.016641,0.001233,0.007338,-0.012247,-0.004779,-0.007478,0.000938
0,0.000000,-0.000103,-0.008508,-0.003342,-0.005906,-0.027586,-0.017087,-0.023394,-0.009013,0.009862,0.020041,-0.026910,0.006809,0.008313,-0.039388,0.014861,0.007413,0.012743,0.009940,0.000731,0.069973,0.064247,0.015012,0.007107,-0.026588,-0.011217,-0.011753,-0.013654,-0.004321,0.000125,-0.007476,-0.000661,0.002892,-0.001354,-0.000357,0.000250,-0.000809
0,0.000000,0.005901,0.001214,-0.000812,0.000053,-0.004892,-0.004965,0.010188,0.000024,0.000895,-0.002802,-0.001955,0.009088,0.001227,0.001381,0.012355,-0.002181,0.001114,0.000611,0.000031,0.040967,0.022746,0.000325,-0.003987,-0.001638,-0.003160,-0.016375,-0.024321,-0.003322,0.022602,-0.025085,-0.004918,0.028632,-0.031260,-0.013585,-0.008703,0.006398
0,0.000000,0.006531,-0.016985,0.003379,0.009088,-0.002006,0.002774,0.003184,0.003010,-0.012536,0.008516,0.001518,-0.007178,0.012209,-0.016562,0.011087,0.007948,0.005455,-0.003819,0.000138,0.045260,0.038363,0.009060,0.003729,-0.023993,-0.000187,-0.017167,-0.011542,-0.003073,-0.001479,-0.017168,0.000001,0.009463,-0.011429,-0.000861,-0.006838,0.001559
0,0.000000,-0.001624,-0.012257,-0.002840,0.009864,-0.014698,0.002678,-0.012604,-0.006225,0.008014,-0.001305,-0.018645,-0.004137,0.028279,-0.021380,0.011495,0.002341,0.012570,0.007289,0.000785,0.056193,0.049836,0.014303,0.006428,-0.022066,-0.004834,-0.009655,-0.005154,-0.000504,-0.013069,-0.000712,-0.002013,0.000151,-0.001043,0.000560,-0.000473,-0.000729
0,0.000000,-0.001619,-0.011779,-0.002922,0.009847,-0.014521,0.002520,-0.012399,-0.005720,0.008401,-0.000832,-0.018222,-0.004222,0.027781,-0.021038,0.011618,0.002314,0.012818,0.007213,0.000891,0.055583,0.049497,0.016857,0.008435,-0.021261,-0.004744,-0.008624,-0.004885,-0.000438,-0.011614,-0.003375,-0.003411,0.000174,-0.000734,0.000530,-0.000463,-0.000656
0,0.000000,-0.008115,-0.018010,0.027194,0.008656,-0.022760,0.004268,-0.007475,0.019284,0.024800,0.021266,-0.034939,-0.012346,0.055582,-0.021121,0.016784,-0.010604,0.001903,0.000797,0.002403,0.003137,0.005509,0.017534,0.023722,-0.007998,-0.003694,-0.003347,-0.005519,-0.004764,0.000985,-0.006422,-0.000654,-0.004444,-0.001709,-0.001640,-0.000813,-0.001052
