d,ibc0,ibc1,ibc2,ibc3,ibc4,ibc5,ibc6,ibc7,ibc8,ibc9,ibc10,ibc11,ibc12,ibc13,ibc14,ibc15,ibc16,ibc17,ibc18,ibc19,ibc20,ibc21,ibc22,ibc23,ibc24,ibc25,ibc26,ibc27,ibc28,ibc29,ibc30,ibc31,ibc32,ibc33,ibc34,ibc35,ibc36
2,0.000000,-0.002654,0.000459,-0.013137,-0.018541,0.003849,-0.004502,-0.012541,0.007305,-0.030315,-0.011753,0.000670,0.012521,-0.027242,0.039320,-0.000088,-0.038379,0.011275,0.011221,0.007954,0.019590,0.000058,0.055750,0.049479,0.002654,-0.001655,-0.023539,-0.029732,-0.007169,-0.007944,-0.003586,-0.007844,-0.001122,-0.000398,-0.005495,-0.001826,-0.000153
2,0.000000,0.002369,0.002260,0.004163,0.010233,0.000426,0.001161,-0.000650,0.000290,0.004008,0.001123,0.000462,-0.002168,-0.000931,0.007102,0.003994,0.005598,0.010946,0.002239,0.001459,0.004052,0.000064,0.008848,0.008266,0.001624,0.000396,-0.000624,-0.004153,-0.029152,-0.024079,0.000111,0.016114,-0.035332,-0.001425,0.013147,-0.008861,-0.029533
2,0.000000,-0.000368,0.004624,-0.007450,-0.010207,-0.010237,-0.000204,-0.010299,-0.002230,-0.021505,-0.009610,-0.016621,0.014508,-0.004772,0.002565,0.020748,-0.031077,0.004706,0.001348,0.009912,0.002797,0.000543,0.054242,0.048802,0.003393,0.000564,-0.021040,-0.021181,-0.004843,-0.010874,-0.003389,-0.004343,-0.001615,0.000035,-0.000919,-0.000003,-0.001790
2,0.000000,0.003476,0.003853,-0.005667,-0.015110,-0.009970,0.003511,-0.008906,0.008355,-0.022637,-0.008314,-0.019999,0.012075,-0.011808,0.015510,0.005778,-0.027493,0.005637,0.006485,0.011921,0.013055,0.000126,0.051134,0.050583,0.002674,-0.000472,-0.028214,-0.029664,-0.001061,-0.010483,-0.004229,-0.009923,-0.003117,0.001453,-0.000620,0.000212,-0.001666
2,0.000000,0.000000,0.000123,-0.003398,-0.002628,0.001308,-0.005211,-0.019834,0.000031,-0.017761,-0.015619,0.017468,0.006857,-0.041510,0.002065,0.022446,-0.023782,0.012660,-0.000298,0.002706,0.003585,0.000501,0.051117,0.051193,0.003039,-0.000256,-0.016420,-0.017842,-0.012257,-0.003399,-0.000323,-0.000915,-0.002831,-0.002726,-0.004067,0.000158,-0.000277
2,0.000000,0.000091,-0.000186,-0.000099,0.000581,-0.007435,-0.007671,-0.022007,-0.016044,-0.032805,-0.010914,-0.000903,0.018734,-0.025622,0.010144,0.001315,-0.031917,0.008748,0.010439,0.015041,0.014854,0.000201,0.088597,0.065539,0.006102,0.000064,-0.028066,-0.015191,-0.020181,-0.014676,-0.003794,-0.002294,-0.005577,0.000161,0.002112,-0.001038,-0.000264
2,0.000000,-0.012625,-0.000529,-0.016790,-0.010074,0.005622,-0.011846,-0.006578,-0.004432,-0.027946,-0.001393,0.011214,0.008548,-0.026824,0.039803,0.011429,-0.051153,0.016617,0.017492,0.007962,0.011152,0.000073,0.054619,0.054948,0.004475,0.002663,-0.019380,-0.015739,-0.018797,-0.009542,-0.002051,-0.002323,-0.000766,-0.002811,-0.006391,-0.001308,-0.001557
2,0.000000,0.002326,0.003546,0.009178,0.005861,0.002957,0.004191,0.000921,-0.001857,0.005467,0.001425,-0.000235,0.001484,0.000682,0.001609,0.006058,-0.004424,0.015840,0.004005,-0.000937,0.005695,0.000079,0.013125,0.021779,0.002037,0.000903,-0.013506,-0.005252,-0.023389,-0.018663,0.000054,0.017594,-0.038787,0.000136,0.021020,-0.019510,-0.017576
2,0.000000,-0.012921,0.060047,-0.009950,-0.042673,0.065524,0.002080,-0.043979,0.011982,-0.011943,0.027393,0.003483,0.016771,-0.044276,-0.006079,0.066276,-0.042716,0.035341,-0.032499,0.000225,0.000189,0.000259,0.012913,0.001464,0.001537,0.017203,0.000895,-0.009895,-0.007862,-0.004038,-0.005859,0.000382,-0.004057,-0.000368,-0.015716,-0.001015,-0.000247
2,0.000000,-0.000327,0.004607,0.008935,0.006937,0.002439,0.000443,-0.001602,-0.010468,0.013909,0.000085,0.001608,-0.003462,-0.001226,0.008377,0.000364,0.002864,0.014391,-0.001984,0.001100,0.000708,0.000004,0.041635,0.022810,0.000320,-0.003038,-0.003065,-0.003569,-0.025990,-0.027369,-0.001753,0.033870,-0.035297,-0.002962,0.033627,-0.031989,-0.009030
2,0.000000,-0.011401,0.043584,-0.003260,-0.045377,0.055447,-0.003703,-0.041820,0.008048,-0.012168,0.020478,-0.005905,0.011212,-0.026273,0.003386,0.059437,-0.056629,0.035700,-0.014042,0.015163,-0.021684,0.000202,0.037225,0.033699,0.000999,0.001220,-0.017214,-0.008204,-0.003541,-0.005774,-0.000279,0.001477,-0.006575,0.000505,-0.002074,-0.002438,-0.000386
2,0.000000,0.000000,0.000000,0.011653,-0.009133,0.009757,0.003398,-0.022910,-0.000417,-0.017097,-0.000684,0.033334,-0.008827,-0.052499,0.002770,0.015890,-0.016217,0.020979,0.003392,0.005263,0.003506,0.000054,0.044116,0.060260,0.007459,0.002340,-0.016924,-0.013017,-0.011231,0.000063,0.000002,-0.002309,-0.004027,-0.002072,-0.003553,0.000304,-0.000237
2,0.000000,0.000000,0.000000,-0.003914,-0.019387,0.011302,0.012621,-0.021112,0.006088,-0.016350,-0.011110,0.014327,-0.000940,-0.023441,0.003335,0.035413,-0.021160,0.018896,-0.005219,0.003172,0.004709,0.000134,0.030988,0.048637,0.004276,-0.000129,-0.007974,-0.004391,-0.005935,-0.003018,-0.000095,-0.002834,-0.000131,-0.000940,0.000687,-0.000964,0.000772
2,0.000000,0.000000,0.000000,0.000259,-0.017395,0.002013,-0.001185,-0.017138,-0.004911,-0.009905,-0.007659,0.014040,0.012168,-0.022731,-0.004503,0.018286,-0.038830,0.014155,0.004280,0.013010,0.005876,0.001314,0.056110,0.049598,0.027171,0.016797,-0.025927,-0.004165,-0.004847,-0.006720,-0.001717,-0.010066,-0.006593,-0.002344,-0.000166,-0.000539,0.000426
2,0.000000,-0.007790,0.039125,-0.008313,-0.018050,0.042542,0.008845,-0.024373,0.014154,-0.012111,0.016966,0.007125,0.016373,-0.039040,-0.000889,0.047803,-0.023793,0.021768,-0.017188,0.000329,-0.000129,0.000929,0.014725,0.003030,0.005447,0.021711,0.000773,-0.011722,-0.009118,-0.005636,-0.007613,0.001092,-0.005786,-0.000606,-0.017857,-0.001205,-0.001576
2,0.000000,-0.002969,-0.008181,-0.005555,-0.005286,0.005944,-0.014181,-0.011871,-0.001094,-0.006735,0.003686,0.005929,0.007392,-0.011586,0.020287,0.006830,-0.039404,0.027500,0.017422,0.014707,0.009635,0.000023,0.057006,0.047585,0.003467,0.002709,-0.017930,-0.013675,-0.016876,-0.009633,-0.004861,-0.000353,0.002782,-0.002213,-0.005324,-0.000160,-0.001003
2,0.000000,0.008721,0.012588,0.018115,-0.007396,-0.009586,0.014039,-0.003551,-0.006827,0.001249,0.003378,-0.016026,0.004834,0.006049,-0.007345,0.012315,-0.010511,0.009794,0.005263,0.011572,-0.006372,0.000263,0.043501,0.035878,0.007187,0.009520,-0.015342,-0.005331,-0.015017,-0.013197,-0.004857,-0.004719,-0.014313,0.002749,0.006436,-0.011786,-0.000753
2,0.000000,-0.002371,-0.000434,0.010680,0.006156,0.002635,0.005153,-0.002250,-0.002967,-0.001464,0.003390,-0.021686,-0.003132,0.010416,0.001791,0.010901,-0.022115,0.030825,0.011118,0.025901,-0.018569,0.000700,0.055269,0.026806,0.003585,-0.018035,-0.010913,-0.003272,-0.013748,-0.013885,-0.001041,-0.000029,-0.005436,0.003495,-0.001512,-0.002355,-0.003550
2,0.000000,0.000256,-0.021289,0.016357,-0.028321,0.011903,0.012912,0.011716,-0.000256,0.006307,0.002496,-0.023300,0.012193,-0.005790,0.004674,0.017527,-0.020985,0.008002,0.029842,-0.012211,0.014546,0.000565,0.053316,0.071287,0.006431,-0.009481,-0.034101,-0.009973,-0.013034,-0.017040,-0.001336,0.000129,-0.017516,-0.000507,0.002111,-0.001746,-0.003477
2,0.000000,0.000147,0.001852,-0.000346,0.002039,0.004941,0.005663,-0.000164,0.010112,-0.009002,0.001808,-0.010349,-0.000345,0.011953,0.008806,-0.008341,-0.021129,0.018184,0.019290,0.012751,0.010570,0.000164,0.067454,0.041334,0.000422,0.004764,-0.032657,-0.020818,-0.024492,-0.010270,-0.000870,-0.001921,-0.005258,0.002743,-0.009558,-0.000233,-0.000086
2,0.000000,-0.000110,0.002243,0.005424,0.000134,0.002192,0.006175,0.001933,0.003181,-0.003383,0.000521,-0.016758,-0.004848,0.010150,0.003132,0.011537,-0.039037,0.034385,0.014712,0.018786,-0.020423,0.000741,0.070740,0.058941,0.002372,-0.020470,-0.019399,-0.007457,-0.011654,-0.012786,-0.001268,-0.002099,-0.006581,0.003390,-0.002969,-0.001879,-0.002448
2,0.000000,-0.004519,-0.006093,0.013992,-0.006728,-0.001459,0.009720,-0.002249,-0.004202,-0.017268,0.007740,-0.007659,0.016872,-0.007538,0.017327,0.002402,-0.014210,0.010315,0.015265,0.013511,0.009264,0.000385,0.080933,0.044422,0.002675,-0.010229,-0.012085,-0.016897,-0.025632,-0.015637,-0.007562,-0.005239,-0.000734,-0.000850,-0.005480,-0.000006,-0.000558
2,0.000000,-0.004121,-0.005009,0.001871,-0.008614,0.009410,-0.006824,-0.024788,0.004600,-0.005350,-0.002407,-0.000616,0.007001,-0.003799,0.017503,0.002917,-0.022481,0.025609,0.011106,0.020642,0.005407,0.000233,0.066443,0.053337,0.001785,0.001450,-0.022999,-0.015095,-0.009471,-0.006369,-0.004744,-0.002556,-0.001536,-0.000141,-0.005950,-0.000891,-0.000980
2,0.000000,0.007677,0.006768,0.011072,-0.016618,0.005386,0.009317,0.000104,0.001077,0.004277,0.002357,-0.010673,0.006883,0.001780,-0.009051,0.017114,-0.017964,0.013660,0.008450,0.006832,-0.004846,0.000189,0.054272,0.042981,0.006404,0.010219,-0.025215,-0.001393,-0.018695,-0.011184,-0.004930,-0.003110,-0.010626,0.002578,0.008668,-0.010164,-0.004381
2,0.000000,0.001071,0.000150,0.015002,-0.004506,0.009070,0.022446,-0.012333,0.018124,-0.002329,0.003900,0.000025,-0.001264,0.007681,0.005685,0.014914,-0.028331,0.018547,0.004399,0.003902,0.006958,0.000207,0.036202,0.038207,0.008277,0.012414,-0.023264,-0.019751,-0.012167,-0.010680,-0.002271,0.002167,-0.024399,0.001471,-0.001344,-0.004244,0.000133
2,0.000000,-0.000782,-0.003722,0.003191,-0.004578,-0.001337,0.003747,-0.005037,0.002072,-0.013703,-0.000323,-0.017577,-0.001199,0.013942,0.024691,-0.004745,-0.031335,0.024240,0.020519,0.008350,0.011600,0.000013,0.071113,0.072254,0.000076,0.000629,-0.036850,-0.015862,-0.017594,-0.009499,-0.000943,-0.001024,-0.000361,0.001692,-0.010438,-0.000181,0.000000
2,0.000000,-0.001074,-0.006831,0.004961,-0.003481,-0.008127,0.007982,-0.011765,-0.000846,-0.012454,0.007672,-0.015996,0.004963,0.002103,0.025179,-0.004886,-0.016765,0.023371,0.015525,0.013178,0.006416,0.000004,0.081675,0.055348,0.000331,-0.001288,-0.019789,-0.020299,-0.015610,-0.013456,-0.000601,-0.006931,0.000682,0.001725,-0.008841,-0.000282,-0.000588
2,0.000000,-0.010249,0.006047,0.006136,0.002923,0.000335,0.007407,-0.007891,-0.002108,-0.020618,0.007145,-0.009193,-0.003407,0.015281,-0.010938,0.020618,-0.024103,0.021240,0.013614,0.012101,0.008867,0.000086,0.081568,0.050902,0.002525,-0.000550,-0.027180,-0.013681,-0.008447,-0.012992,-0.000682,-0.007840,-0.003877,0.002115,-0.012368,0.000033,-0.001042
2,0.000000,0.002560,-0.003602,0.013405,-0.006542,0.007440,0.003650,-0.004745,-0.001381,-0.002511,0.004139,-0.008044,0.005384,0.008055,-0.002794,0.014327,-0.024922,0.012014,0.027828,0.002356,0.003924,0.001093,0.053765,0.059128,0.009533,-0.008103,-0.022916,-0.009571,-0.012543,-0.010600,-0.000244,0.000936,-0.017940,-0.000146,0.005756,-0.004919,-0.007302
2,0.000000,0.003944,0.002956,0.026144,-0.012512,-0.022575,0.026144,-0.007345,-0.010505,0.011494,0.003006,-0.020703,0.004752,0.011148,0.003069,0.006163,-0.004385,0.013439,0.006273,0.001776,0.003362,0.004789,0.044254,0.045977,0.012179,0.007422,-0.008520,-0.006583,-0.011820,-0.016090,-0.002434,-0.001480,-0.008683,0.000138,-0.001242,-0.001644,-0.001680
