d,ibc0,ibc1,ibc2,ibc3,ibc4,ibc5,ibc6,ibc7,ibc8,ibc9,ibc10,ibc11,ibc12,ibc13,ibc14,ibc15,ibc16,ibc17,ibc18,ibc19,ibc20,ibc21,ibc22,ibc23,ibc24,ibc25,ibc26,ibc27,ibc28,ibc29,ibc30,ibc31,ibc32,ibc33,ibc34,ibc35,ibc36
0,0.000000,0.000215,0.000239,-0.000274,0.000188,0.000093,-0.000190,-0.000072,-0.008734,-0.004298,-0.006581,-0.030505,-0.017244,-0.024858,-0.009886,0.004692,0.018975,-0.027142,0.006827,0.006131,-0.039713,0.013307,0.007876,0.011410,0.011218,0.000410,0.076502,0.068576,0.008129,0.002529,-0.028173,-0.012824,-0.014547,-0.014679,-0.004235,-0.002072,-0.004381
0,0.000000,-0.007353,0.002222,-0.005531,0.007118,-0.021819,0.003876,-0.003548,-0.008028,0.008326,0.003221,-0.002989,0.000968,-0.002029,0.002658,-0.009617,-0.001623,0.012381,0.006464,-0.011847,-0.009798,0.013317,0.006392,0.008968,0.002800,0.000037,0.041719,0.021221,0.000097,-0.000290,-0.016660,-0.012418,-0.009356,-0.007632,-0.000631,-0.000931,-0.000901
0,0.000000,-0.000002,0.000081,-0.000042,0.000735,-0.010326,-0.001266,-0.018069,-0.005752,0.007544,-0.019891,-0.011277,0.005246,-0.023880,0.000189,0.008556,0.010972,-0.030045,0.014105,0.020209,-0.041477,0.017175,0.017714,0.011836,0.010050,0.000186,0.041321,0.038838,0.003528,0.003275,-0.011152,-0.007771,-0.014100,-0.006467,-0.000748,-0.000653,-0.000644
0,0.000000,0.020650,-0.026733,0.032998,-0.041675,-0.030768,0.038841,0.004819,-0.012744,0.008692,0.020084,-0.026138,0.004353,-0.010842,0.000668,0.013119,0.020255,-0.041606,-0.004246,0.051750,-0.024967,0.009500,-0.010443,0.000491,0.000613,0.001660,0.001768,0.002961,0.007597,0.009073,-0.002716,-0.000678,0.000116,-0.001783,-0.002431,-0.000331,-0.000002
0,0.000000,-0.002320,-0.002680,-0.002098,0.006223,-0.017502,0.005659,-0.000029,-0.005679,0.014963,0.007559,0.005329,0.018735,-0.002879,0.003209,-0.011719,0.001099,0.012227,-0.001741,-0.004957,-0.000483,0.007980,0.011095,0.006170,0.002367,-0.000006,0.026904,0.008417,0.000215,0.011749,-0.021880,-0.016895,-0.020327,-0.007697,-0.001049,-0.003132,-0.006898
0,0.000000,-0.001675,0.004412,-0.010355,-0.017525,-0.003658,-0.003979,0.009935,-0.009634,-0.003351,0.011499,-0.004674,-0.003906,-0.013061,0.000425,-0.002884,0.019003,-0.005052,0.013142,0.003983,-0.008064,0.005365,0.019106,0.009659,0.006931,0.000354,0.073970,0.027567,0.003242,-0.019649,-0.010027,-0.010671,-0.031093,-0.017612,-0.006328,-0.002808,-0.000243
0,0.000000,-0.006032,-0.008377,0.002446,-0.027820,-0.011094,0.004158,0.008806,0.008165,0.013452,0.007408,-0.000297,0.000562,-0.013293,0.000469,-0.000045,0.010046,-0.017890,-0.002049,0.027563,-0.010863,0.004749,0.006505,0.005071,0.002636,0.000531,0.029691,0.020721,0.005893,0.011403,-0.012739,-0.011653,-0.008994,-0.006621,-0.001207,-0.003726,-0.001758
0,0.000000,0.000000,0.000000,-0.009223,-0.017128,-0.005768,-0.003007,0.002052,-0.008530,0.008121,-0.004922,-0.019989,0.000556,-0.001036,-0.001490,0.003159,0.008262,-0.013117,0.014480,0.006538,-0.019145,0.025044,0.007923,0.010156,0.005579,0.000187,0.049599,0.044872,0.001643,0.003772,-0.023572,-0.014438,-0.008515,-0.005217,-0.004864,-0.002910,-0.002288
0,0.000000,-0.004347,0.003831,-0.011147,-0.018172,-0.003414,-0.004130,0.009327,-0.009298,-0.002082,0.012964,-0.004706,-0.005530,-0.013715,-0.000221,-0.003451,0.016209,-0.002127,0.013958,0.003798,-0.005662,0.006781,0.020249,0.011593,0.010855,0.000337,0.085990,0.035296,0.002965,-0.018987,-0.015472,-0.014168,-0.033374,-0.020069,-0.006208,-0.003422,-0.000624
0,0.000000,0.000306,-0.014298,-0.005285,-0.008574,-0.008884,-0.005043,-0.003453,-0.005664,-0.006187,0.003092,-0.006214,-0.001754,-0.007998,0.008456,-0.011028,0.014217,-0.008167,0.013342,-0.001774,-0.006102,0.014080,0.014014,0.012283,0.005981,0.000015,0.076593,0.034899,0.000538,0.000395,-0.016684,-0.010517,-0.017617,-0.017130,-0.000455,-0.003557,0.000635
0,0.000000,0.000000,-0.004798,-0.021401,-0.004336,0.000578,-0.011409,-0.000563,-0.006800,-0.000351,-0.001377,-0.009145,0.001900,-0.006613,0.006346,-0.006771,-0.000751,-0.010795,0.019692,-0.001005,-0.017733,0.018195,0.005811,0.017778,0.006397,0.004506,0.074665,0.044777,-0.004302,0.004103,-0.026786,-0.014639,-0.005870,-0.003901,-0.008189,0.000424,-0.001063
0,0.000000,-0.002000,-0.012960,-0.007327,-0.009137,-0.007706,-0.006751,-0.002893,-0.003991,-0.006675,0.007767,-0.009663,-0.002246,-0.008451,0.007063,-0.011123,0.012500,-0.005286,0.018623,0.000191,-0.011146,0.019984,0.014963,0.013522,0.005170,0.000013,0.080761,0.044472,0.000387,-0.002552,-0.021438,-0.017289,-0.016162,-0.016350,-0.000538,-0.006851,0.001299
0,0.000000,0.000000,0.000000,-0.013298,-0.017332,-0.003149,-0.004164,0.000167,-0.007154,0.008406,-0.001084,-0.017274,-0.000952,-0.000704,-0.001990,0.000162,0.005322,-0.006831,0.027532,-0.002439,-0.019358,0.026541,0.005482,0.012775,0.000209,0.000146,0.062603,0.054794,0.001492,0.003143,-0.034807,-0.013623,-0.006881,-0.006951,-0.005774,-0.004240,-0.001287
